Gender,Money,Recency,Frequency,Age,cat_Children,cat_Teen,cat_Cooking,cat_DIY,cat_Reference,cat_Art,Purchase_Secret_of_Italian_k,Purchase_Atlas_of_Italy,Purchase_Italian_Art,Buy
F,132,14,2,20,0,0,0,0,0,1,0,0,0,0
F,71,10,1,10,0,0,0,1,0,0,0,0,0,0
F,55,8,1,8,0,0,0,0,0,0,0,0,0,0
M,146,14,1,14,0,0,0,1,0,0,0,0,0,0
F,190,22,1,22,0,0,1,0,0,0,0,0,0,0
F,123,10,1,10,1,0,0,0,0,0,0,0,0,0
F,336,18,6,32,2,0,1,1,0,2,0,0,0,1
F,246,12,2,14,1,0,1,0,0,0,0,0,0,0
F,260,2,11,46,1,2,3,1,0,1,0,0,0,0
F,138,14,9,38,1,1,3,2,0,1,0,0,0,0
F,52,34,1,34,0,0,1,0,0,0,0,0,0,0
F,138,22,7,56,2,1,2,0,1,0,1,0,0,0
F,228,2,1,2,0,1,0,0,0,0,0,0,0,0
F,447,30,11,84,3,0,2,2,0,3,0,0,0,0
F,148,12,2,20,1,0,0,1,0,0,0,0,0,0
F,341,14,4,32,1,2,0,0,0,0,0,0,0,0
F,257,10,1,10,0,0,1,0,0,0,0,0,0,0
F,102,22,2,24,2,0,0,0,0,0,0,0,0,0
F,198,14,6,46,2,1,2,1,0,0,1,0,0,0
F,264,18,2,20,0,0,1,0,1,0,0,0,0,0
F,186,6,12,78,2,1,3,0,1,1,1,0,1,1
M,145,10,8,50,1,1,4,0,0,1,0,0,0,0
M,211,6,1,6,0,0,1,0,0,0,0,0,0,0
F,289,4,5,32,1,1,1,1,0,0,0,0,0,0
F,97,6,2,10,0,0,1,0,0,0,0,0,0,0
F,145,6,2,12,1,0,1,0,0,0,0,0,0,0
F,190,16,1,16,0,0,0,0,0,0,0,0,0,0
F,254,14,1,14,0,0,0,0,0,1,0,0,0,0
M,185,14,6,44,1,0,3,1,0,1,0,0,0,0
F,143,2,2,6,0,1,0,0,0,0,0,0,0,0
M,182,10,2,14,1,0,0,0,0,0,0,0,0,0
M,123,8,3,18,0,0,1,0,0,0,0,0,0,0
F,190,12,1,12,0,0,0,0,0,1,0,0,0,0
M,251,10,12,64,4,2,1,2,1,1,0,0,0,0
M,321,28,10,68,3,0,1,2,0,2,0,0,0,0
F,261,6,1,6,1,0,0,0,0,0,0,0,0,0
F,255,14,1,14,0,1,0,0,0,0,0,0,0,0
F,336,14,4,30,1,2,0,0,0,1,0,0,1,0
F,180,16,5,42,2,0,0,1,0,1,0,0,1,1
F,395,14,11,66,4,2,2,0,0,0,1,0,0,0
M,248,14,7,40,1,0,4,1,1,0,0,0,0,0
F,73,14,4,32,2,0,0,0,0,1,0,0,0,0
M,234,14,5,26,1,0,1,2,1,0,1,1,0,0
F,284,10,1,10,0,1,0,0,0,0,0,0,0,0
F,187,14,1,14,1,0,0,0,0,0,0,0,0,0
F,398,32,11,64,7,1,0,0,1,1,0,1,1,0
F,252,10,1,10,0,0,0,0,0,1,0,0,0,0
F,201,14,1,14,0,0,0,1,0,0,0,0,0,0
F,152,8,8,54,1,0,1,0,2,4,0,0,0,1
F,185,16,2,18,0,0,0,1,0,1,0,0,0,0
F,274,14,1,14,0,0,1,0,0,0,0,0,0,0
F,51,12,1,12,0,0,0,1,0,0,0,0,0,0
M,70,16,1,16,0,0,0,0,1,0,0,0,0,0
F,172,26,1,26,0,0,1,0,0,0,0,0,0,0
F,348,2,7,38,1,1,2,0,1,0,0,0,0,0
F,240,6,3,20,0,1,1,0,0,0,0,0,0,0
F,197,10,12,36,3,0,4,2,2,1,0,0,0,0
F,436,4,12,38,2,0,3,2,1,2,1,0,0,1
M,175,34,2,42,0,0,0,0,2,0,0,0,0,0
M,127,12,2,16,0,1,0,0,0,0,0,0,0,0
F,275,2,4,20,0,0,2,1,0,1,0,0,0,0
M,239,20,2,28,0,0,1,0,0,0,0,0,0,0
F,263,14,2,20,1,0,1,0,0,0,0,0,0,0
F,72,12,4,26,1,1,1,0,0,0,1,0,0,0
F,274,12,2,20,1,0,0,0,0,1,0,0,0,0
M,320,2,3,18,0,0,0,1,0,2,0,0,0,1
F,197,34,2,36,0,0,0,0,0,0,0,0,0,0
F,300,4,2,10,0,0,1,1,0,0,0,0,0,0
F,268,4,1,4,0,0,0,0,0,0,0,0,0,1
M,89,2,1,2,0,0,0,0,0,0,0,0,0,0
F,107,14,2,20,1,0,1,0,0,0,0,0,0,0
M,253,34,2,38,1,1,0,0,0,0,0,0,0,0
M,62,14,1,14,0,0,0,1,0,0,0,0,0,0
M,251,8,7,24,3,0,1,0,1,1,0,0,0,0
F,339,26,7,60,1,0,3,1,1,1,0,0,0,0
F,282,12,12,36,3,2,1,2,2,1,0,0,0,0
F,240,14,7,48,2,0,1,0,1,0,0,0,0,0
M,135,14,1,14,1,0,0,0,0,0,0,0,0,0
F,82,10,1,10,0,0,0,0,0,0,0,0,0,0
F,158,24,5,38,0,0,1,0,0,2,0,0,0,0
M,49,14,1,14,1,0,0,0,0,0,0,0,0,0
F,213,4,2,10,1,0,1,0,0,0,0,0,0,0
M,365,8,11,60,3,0,0,0,1,1,0,0,0,1
M,248,14,1,14,0,1,0,0,0,0,0,0,0,0
F,184,2,2,10,1,0,1,0,0,0,1,0,0,0
F,253,10,4,20,1,0,0,0,1,1,0,0,0,1
F,256,14,9,58,2,0,3,0,1,1,1,1,1,0
M,105,10,2,14,0,0,0,0,2,0,0,1,0,0
F,113,20,1,20,1,0,0,0,0,0,0,0,0,0
F,332,16,11,54,2,0,4,2,2,1,0,0,0,0
F,226,14,6,28,2,1,2,0,0,1,1,0,0,0
M,81,22,1,22,0,0,1,0,0,0,0,0,0,0
F,330,10,10,38,0,0,5,2,1,2,0,0,0,0
F,118,16,1,16,0,1,0,0,0,0,0,0,0,0
F,313,8,3,22,1,0,1,0,0,0,0,0,0,0
F,315,28,2,34,0,0,1,1,0,0,0,0,0,0
F,326,14,2,22,0,1,0,0,1,0,0,0,0,0
F,89,14,5,38,1,0,1,2,1,0,0,0,0,0
F,330,28,11,66,0,3,4,1,2,0,0,0,0,0
F,255,30,1,30,0,0,1,0,0,0,0,0,0,0
F,175,14,1,14,0,0,0,0,1,0,0,0,0,0
F,198,2,12,62,2,3,2,1,0,2,1,0,1,1
M,280,6,2,12,0,2,0,0,0,0,0,0,0,1
F,294,28,7,56,1,0,2,1,0,1,0,0,0,0
F,249,12,3,20,1,1,0,1,0,0,0,0,0,0
M,37,8,2,12,0,0,1,0,0,0,0,0,0,0
M,289,20,2,28,0,1,1,0,0,0,0,0,0,0
F,71,30,1,30,0,0,1,0,0,0,0,0,0,0
F,92,12,3,28,0,0,2,0,1,0,1,0,0,0
M,44,12,2,20,0,0,2,0,0,0,0,0,0,0
F,393,12,11,50,3,0,3,0,0,2,0,0,0,1
F,211,6,1,6,0,0,0,0,0,1,0,0,0,0
F,40,28,1,28,0,0,0,0,0,0,0,0,0,0
F,218,24,2,30,0,0,1,0,0,0,0,0,0,0
F,170,16,2,20,0,0,0,1,1,0,0,0,0,0
F,138,10,7,38,2,3,0,0,0,1,0,0,0,1
F,262,16,9,58,5,0,2,0,0,0,0,0,0,0
F,200,2,10,32,2,1,4,0,1,1,0,0,0,0
F,254,6,3,24,0,0,1,1,0,1,1,0,0,0
M,183,18,2,22,0,0,1,0,0,0,0,0,0,0
F,186,16,7,54,2,1,3,1,0,0,0,0,0,0
F,320,6,5,24,2,0,2,0,0,0,1,0,0,0
F,222,32,11,70,3,0,4,1,1,0,1,1,0,0
M,142,14,2,20,0,1,0,0,0,1,0,0,0,1
M,251,10,2,18,0,0,2,0,0,0,0,0,0,1
F,202,2,1,2,0,0,0,0,1,0,0,0,0,0
M,343,10,4,30,0,0,3,0,0,0,0,0,0,0
F,308,12,1,12,0,0,0,0,0,0,0,0,0,0
F,313,12,1,12,0,0,1,0,0,0,0,0,0,0
F,213,2,1,2,0,0,0,0,0,1,0,0,0,0
F,258,4,2,8,0,1,0,0,0,1,0,0,0,0
F,27,12,1,12,0,0,1,0,0,0,0,0,0,0
M,106,12,7,26,3,0,2,0,0,2,0,0,0,0
M,56,14,1,14,0,0,1,0,0,0,0,0,0,0
F,243,10,1,10,0,0,0,0,0,0,0,0,0,0
F,57,10,2,14,0,0,2,0,0,0,1,0,0,0
M,20,24,1,24,0,0,1,0,0,0,0,0,0,0
F,210,16,1,16,1,0,0,0,0,0,0,0,0,0
F,252,12,1,12,1,0,0,0,0,0,0,0,0,0
F,303,24,1,24,0,0,0,0,0,1,0,0,0,0
F,52,4,2,6,1,0,0,0,0,0,0,0,0,0
F,293,14,10,68,0,1,3,1,3,0,0,0,0,0
F,294,10,12,58,5,1,4,0,0,0,0,0,0,0
M,130,14,2,18,1,0,0,0,0,0,0,0,0,1
F,117,24,2,32,0,0,1,0,0,1,0,0,0,0
F,308,6,1,6,0,0,0,0,0,1,0,0,0,1
F,301,2,2,4,0,0,1,1,0,0,0,0,0,0
F,33,16,2,22,0,0,0,1,0,0,0,0,0,0
M,332,10,12,66,3,3,5,0,0,1,1,0,1,0
F,122,22,1,22,1,0,0,0,0,0,0,0,0,0
F,341,2,9,26,1,3,3,0,1,0,0,0,0,0
F,132,18,2,20,1,0,0,0,0,0,0,0,0,0
F,362,6,6,28,0,1,1,0,1,2,0,0,0,1
F,219,32,2,40,0,0,1,0,0,0,0,0,0,0
M,318,12,3,24,0,1,2,0,0,0,0,0,0,0
F,199,10,1,10,0,0,0,1,0,0,0,0,0,0
F,324,26,2,30,2,0,0,0,0,0,0,0,0,0
M,333,2,4,18,1,0,1,0,0,1,0,0,0,0
F,63,4,1,4,0,0,0,1,0,0,0,0,0,0
F,263,18,7,58,2,0,1,0,1,1,0,0,0,0
F,146,36,2,38,0,0,1,0,0,0,0,0,0,0
F,251,10,2,18,1,0,0,0,0,1,0,0,0,1
F,75,8,2,14,0,0,1,0,0,0,0,0,0,0
F,284,12,1,12,0,0,0,0,0,0,0,0,0,0
F,171,14,8,58,1,0,1,2,1,1,0,0,0,0
F,248,34,12,72,4,0,1,2,2,2,0,0,0,0
F,57,2,1,2,0,0,0,0,0,0,0,0,0,0
M,260,34,11,74,0,2,3,5,0,1,0,0,0,0
F,180,4,10,54,2,0,5,1,1,0,1,0,0,0
F,251,16,2,20,1,1,0,0,0,0,0,0,0,0
F,303,10,3,20,1,0,1,0,0,1,1,0,1,0
M,382,12,11,70,2,0,5,2,1,1,1,0,0,0
F,314,2,1,2,0,0,1,0,0,0,0,0,0,0
F,32,26,2,32,1,0,0,0,0,0,0,0,0,0
F,266,6,6,28,0,1,3,0,1,0,0,0,0,0
M,278,16,12,42,2,1,5,0,0,1,0,0,0,0
F,249,16,1,16,1,0,0,0,0,0,0,0,0,1
F,152,12,1,12,1,0,0,0,0,0,0,0,0,0
F,102,8,3,22,0,0,2,0,0,1,0,0,0,0
M,177,24,1,24,0,0,0,0,0,1,0,0,0,0
M,214,10,1,10,1,0,0,0,0,0,0,0,0,0
M,278,12,2,18,0,0,0,1,0,1,0,0,0,0
M,164,22,2,26,0,0,1,0,1,0,0,0,0,0
F,271,6,2,8,0,1,0,0,0,0,0,0,0,0
F,39,16,1,16,0,1,0,0,0,0,0,0,0,0
M,415,26,12,74,5,1,0,2,1,1,0,0,0,0
F,123,14,2,18,1,0,0,0,1,0,0,0,0,0
F,69,14,2,18,0,0,1,0,0,0,0,0,0,0
F,311,14,9,50,0,0,2,1,0,0,0,0,0,1
F,33,12,1,12,0,1,0,0,0,0,0,0,0,0
F,172,16,1,16,0,0,0,0,1,0,0,0,0,0
F,236,16,2,20,0,1,1,0,0,0,1,0,0,0
F,106,4,1,4,0,0,0,0,1,0,0,0,0,0
M,415,4,9,26,1,3,2,2,0,0,0,0,0,0
F,219,4,5,22,0,0,4,0,1,0,0,0,0,0
M,180,8,2,12,0,1,0,1,0,0,0,0,0,1
M,227,30,2,34,1,0,0,0,0,1,0,0,0,1
F,266,6,2,10,1,0,0,0,0,0,0,0,0,0
F,437,16,11,58,5,0,2,2,0,2,1,0,1,0
F,188,10,1,10,1,0,0,0,0,0,0,0,0,0
F,285,10,6,38,0,0,2,2,0,1,1,0,0,0
M,308,6,9,34,0,2,3,0,2,0,0,0,0,0
M,162,32,2,36,0,0,2,0,0,0,1,0,0,0
F,371,26,12,66,3,2,4,0,1,0,0,0,0,0
F,44,2,1,2,0,0,1,0,0,0,0,0,0,1
F,115,24,1,24,0,0,0,0,0,1,0,0,0,0
F,221,30,2,38,0,1,0,0,0,0,0,0,0,0
M,240,34,8,54,3,2,2,0,0,0,0,0,0,0
M,103,2,2,4,1,1,0,0,0,0,0,0,0,0
M,349,2,8,22,2,0,1,0,1,3,0,0,0,1
F,328,26,12,62,2,3,0,2,3,2,0,1,1,0
M,106,16,6,44,1,2,0,2,1,0,0,0,0,0
F,167,16,1,16,0,1,0,0,0,0,0,0,0,0
F,87,8,4,18,0,0,2,1,0,1,0,0,0,0
F,279,6,2,14,1,0,1,0,0,0,0,0,0,0
F,96,16,1,16,0,0,0,0,0,1,0,0,0,0
F,62,12,1,12,1,0,0,0,0,0,0,0,0,0
F,131,22,1,22,0,0,1,0,0,0,0,0,0,0
M,286,14,2,16,0,0,0,0,0,1,0,0,0,0
F,183,20,1,20,1,0,0,0,0,0,0,0,0,0
F,146,6,2,10,0,0,0,0,1,0,0,0,0,0
F,133,32,2,36,1,0,1,0,0,0,1,0,0,0
F,194,28,2,30,1,0,1,0,0,0,1,0,0,0
M,180,28,2,36,0,0,1,0,0,0,0,0,0,0
F,326,2,12,70,2,1,2,2,0,2,1,0,1,0
M,96,26,2,34,0,1,1,0,0,0,0,0,0,0
F,170,6,5,28,1,0,3,0,0,0,0,0,0,0
F,408,16,10,48,3,0,3,1,0,1,1,0,1,0
M,32,14,1,14,0,0,0,0,0,1,0,0,0,0
M,234,14,1,14,0,1,0,0,0,0,0,0,0,0
F,352,12,11,66,5,1,3,1,0,1,1,0,1,0
F,319,12,8,32,2,1,1,1,2,0,0,0,0,0
F,242,10,5,32,1,0,2,0,1,1,0,0,0,0
M,296,6,2,12,1,0,0,1,0,0,0,0,0,0
M,229,4,12,62,2,1,6,0,1,0,1,0,0,0
F,264,4,2,12,0,0,1,0,0,0,0,0,0,0
F,186,2,10,56,2,1,1,2,1,1,0,0,0,1
M,460,12,11,36,3,0,2,3,1,0,1,0,0,0
F,131,14,1,14,0,0,0,0,1,0,0,0,0,0
F,312,14,1,14,0,0,1,0,0,0,0,0,0,0
F,78,6,2,10,2,0,0,0,0,0,0,0,0,0
F,196,14,9,58,1,1,2,1,2,1,1,1,1,0
F,223,16,7,44,2,1,1,1,0,2,1,0,1,0
F,306,4,1,4,0,0,0,0,0,1,0,0,0,0
F,48,16,2,22,0,0,0,2,0,0,0,0,0,0
M,294,30,3,38,1,0,0,1,0,0,0,0,0,0
F,72,28,1,28,0,0,1,0,0,0,0,0,0,0
F,285,14,11,52,2,0,3,4,0,1,1,0,0,0
F,165,12,1,12,0,0,1,0,0,0,0,0,0,0
F,265,4,7,40,1,1,1,2,0,2,0,0,0,0
F,301,16,5,26,0,0,1,2,0,1,0,0,0,0
M,84,6,1,6,0,0,0,0,1,0,0,0,0,1
M,146,22,2,26,2,0,0,0,0,0,0,0,0,0
M,312,36,10,58,2,2,2,1,1,1,1,1,1,0
F,54,14,3,22,1,1,1,0,0,0,0,0,0,0
F,196,10,2,18,2,0,0,0,0,0,0,0,0,0
F,404,12,7,46,2,1,1,1,0,1,0,0,0,0
F,310,12,2,16,1,0,0,0,0,1,0,0,0,0
M,243,2,12,34,3,0,4,1,1,1,0,0,0,0
F,324,16,2,24,0,0,0,1,0,1,0,0,1,0
M,368,16,9,58,0,2,2,2,1,2,1,0,1,0
M,70,4,2,6,1,0,0,1,0,0,0,0,0,0
F,276,12,2,14,1,0,0,1,0,0,0,0,0,0
F,159,12,8,44,1,1,3,1,0,1,1,0,0,0
F,313,28,2,32,1,0,1,0,0,0,0,0,0,0
F,136,24,1,24,0,0,0,0,1,0,0,0,0,0
F,357,12,12,60,2,4,2,2,0,2,0,0,0,0
M,147,12,1,12,0,1,0,0,0,0,0,0,0,0
M,107,16,1,16,0,1,0,0,0,0,0,0,0,0
F,372,8,11,72,3,1,1,1,1,2,0,0,0,0
M,235,10,1,10,0,1,0,0,0,0,0,0,0,0
F,265,22,10,54,2,0,3,3,1,0,0,0,0,0
M,128,2,4,26,1,1,1,0,0,0,0,0,0,0
F,231,4,1,4,0,0,0,1,0,0,0,0,0,0
F,194,2,2,6,0,0,1,1,0,0,0,0,0,0
F,264,16,2,24,0,1,0,0,0,1,0,0,0,0
F,260,4,3,18,1,0,0,1,1,0,0,1,0,0
F,441,36,10,74,3,1,3,1,1,0,0,0,0,0
M,33,12,2,14,0,1,0,1,0,0,0,0,0,0
F,372,10,5,20,0,0,0,0,2,1,0,0,0,0
F,63,22,1,22,0,0,0,0,0,0,0,0,0,0
M,63,16,2,20,0,0,0,1,0,0,0,0,0,0
F,33,10,2,16,0,0,1,0,0,0,0,0,0,0
F,156,18,10,52,1,0,2,2,2,2,0,0,0,0
M,45,4,2,10,0,0,1,1,0,0,0,0,0,0
F,196,2,12,26,3,2,2,1,0,0,0,0,0,0
M,176,8,1,8,0,0,1,0,0,0,0,0,0,0
F,220,4,1,4,0,0,1,0,0,0,0,0,0,0
M,284,10,12,34,3,0,2,4,1,1,0,0,0,0
F,274,6,1,6,0,0,0,1,0,0,0,0,0,0
F,316,16,6,32,3,1,0,1,0,1,0,0,0,0
F,259,12,2,18,0,0,0,0,1,0,0,0,0,0
F,91,2,2,10,2,0,0,0,0,0,0,0,0,0
F,419,10,11,44,6,0,4,0,1,0,0,0,0,0
F,313,16,1,16,1,0,0,0,0,0,0,0,0,0
M,211,6,11,44,3,2,3,0,0,2,1,0,1,0
M,235,14,1,14,0,1,0,0,0,0,0,0,0,0
M,306,24,1,24,1,0,0,0,0,0,0,0,0,0
F,280,30,2,34,0,1,1,0,0,0,1,0,0,0
M,29,18,1,18,0,0,0,0,0,0,0,0,0,0
F,88,10,2,16,0,0,1,0,0,0,0,0,0,0
M,155,12,8,48,2,1,3,1,0,0,1,0,0,0
F,231,8,1,8,0,0,1,0,0,0,0,0,0,0
F,278,10,9,56,1,2,2,0,0,0,1,0,0,0
F,71,6,3,16,0,1,1,0,1,0,0,0,0,0
F,320,28,3,38,0,0,2,0,0,1,0,0,0,0
F,112,16,1,16,0,0,1,0,0,0,0,0,0,0
M,109,8,4,18,0,0,3,0,0,0,0,0,0,0
F,285,20,1,20,0,0,1,0,0,0,0,0,0,0
F,115,18,2,20,1,0,1,0,0,0,1,0,0,0
F,234,4,2,10,1,0,0,1,0,0,0,0,0,0
F,417,2,9,54,1,1,3,1,1,0,0,0,0,0
F,105,8,7,40,1,1,1,0,2,0,0,0,0,0
F,28,14,1,14,0,0,0,0,1,0,0,0,0,0
F,97,20,1,20,0,0,0,0,0,1,0,0,0,0
M,212,2,1,2,0,0,1,0,0,0,0,0,0,0
F,49,26,1,26,0,1,0,0,0,0,0,0,0,0
F,270,36,2,38,0,0,1,0,0,0,0,0,0,0
M,317,10,3,28,0,0,0,0,1,1,0,0,0,0
M,49,22,3,32,0,0,1,1,0,1,0,0,0,0
M,257,14,12,76,2,1,3,1,2,2,0,0,0,0
M,189,16,9,68,1,0,1,3,1,1,0,0,0,0
F,211,8,10,42,3,0,2,0,0,1,0,0,0,0
F,141,16,2,18,0,0,0,1,0,1,0,0,0,0
M,343,10,7,32,3,1,0,1,1,1,0,0,0,0
F,92,16,3,32,0,1,0,1,0,1,0,0,0,0
M,73,24,2,30,1,1,0,0,0,0,0,0,0,0
F,223,10,8,46,1,1,1,1,0,2,1,0,1,0
M,310,32,2,40,1,1,0,0,0,0,0,0,0,0
F,352,10,8,50,3,3,0,0,0,0,0,0,0,0
F,161,14,1,14,0,0,0,0,0,0,0,0,0,0
F,346,28,12,52,3,1,3,1,0,3,0,0,0,0
F,55,26,1,26,0,0,1,0,0,0,0,0,0,0
F,137,10,9,36,3,0,4,1,0,1,1,0,0,0
F,33,14,2,18,0,0,1,1,0,0,0,0,0,0
F,321,12,3,24,0,1,1,0,1,0,0,0,0,0
F,220,8,2,10,0,0,1,0,1,0,0,0,0,0
F,149,2,1,2,1,0,0,0,0,0,0,0,0,0
F,291,14,1,14,0,0,1,0,0,0,0,0,0,0
F,201,18,2,22,0,1,0,0,0,0,0,0,0,0
M,302,6,1,6,0,0,1,0,0,0,0,0,0,0
F,283,12,1,12,0,0,0,1,0,0,0,0,0,0
F,174,26,8,50,2,3,2,0,0,1,0,0,0,0
F,155,4,6,24,1,1,2,0,0,0,0,0,0,0
F,114,16,2,22,0,0,1,0,1,0,0,0,0,0
F,42,8,2,10,1,1,0,0,0,0,0,0,0,0
F,207,4,7,22,2,1,1,0,0,1,0,0,0,1
F,73,30,1,30,0,0,1,0,0,0,0,0,0,0
F,383,28,12,88,4,1,1,2,2,1,0,0,0,0
M,340,14,4,26,3,0,1,0,0,0,0,0,0,0
F,305,6,1,6,0,0,0,0,0,0,0,0,0,0
F,101,6,2,10,1,0,0,0,0,0,0,0,0,0
M,352,10,10,50,3,2,2,1,1,0,0,0,0,0
F,274,8,1,8,0,0,0,0,0,1,0,0,0,0
F,376,14,9,54,3,0,1,2,0,1,0,0,0,0
F,211,28,2,32,0,0,1,0,0,0,0,0,0,0
F,143,14,9,38,2,2,1,1,1,2,0,0,0,0
F,181,14,3,24,0,0,2,0,0,0,0,0,0,0
F,106,8,2,10,1,0,1,0,0,0,0,0,0,0
F,287,2,1,2,0,1,0,0,0,0,0,0,0,0
F,181,16,5,38,2,0,2,1,0,0,0,0,0,0
F,265,16,1,16,0,1,0,0,0,0,0,0,0,0
F,254,8,2,12,0,1,0,1,0,0,0,0,0,0
M,322,4,2,10,1,0,0,0,1,0,0,0,0,0
F,169,20,1,20,0,0,1,0,0,0,0,0,0,0
M,261,2,2,4,1,0,1,0,0,0,0,0,0,0
F,355,16,5,28,1,0,2,0,1,1,0,0,0,0
F,87,10,1,10,1,0,0,0,0,0,0,0,0,0
F,307,14,2,20,0,0,0,0,0,1,0,0,0,0
F,195,10,2,16,0,0,1,0,0,1,0,0,0,0
M,43,24,2,26,1,0,0,0,0,1,0,0,0,0
F,278,18,1,18,0,0,1,0,0,0,0,0,0,0
F,310,2,1,2,0,0,0,0,0,0,0,0,0,0
F,69,14,2,18,1,0,0,0,0,0,0,0,0,0
F,233,30,8,54,0,1,2,2,0,2,0,0,0,0
F,18,8,1,8,0,0,0,0,1,0,0,0,0,0
F,210,2,3,20,0,2,0,0,0,0,0,0,0,0
M,307,16,1,16,0,0,1,0,0,0,0,0,0,0
M,323,14,9,52,1,2,2,2,1,0,0,0,0,0
M,193,10,6,26,2,0,3,1,0,0,1,0,0,0
M,246,10,2,14,2,0,0,0,0,0,0,0,0,0
F,335,12,4,36,0,0,3,0,0,1,1,0,0,0
M,265,26,2,32,0,0,2,0,0,0,0,0,0,0
M,199,4,1,4,0,0,0,0,1,0,0,0,0,0
M,386,26,12,94,0,2,3,3,1,1,0,0,0,0
F,368,12,12,54,3,1,3,0,3,1,1,1,0,1
F,381,16,10,54,1,2,5,1,0,1,1,0,0,0
F,206,12,1,12,0,0,0,0,0,1,0,0,0,0
F,128,6,1,6,0,0,1,0,0,0,0,0,0,0
M,285,16,1,16,0,0,0,1,0,0,0,0,0,0
F,419,12,8,48,2,1,0,2,2,0,0,0,0,0
F,296,12,1,12,0,0,0,0,0,1,0,0,0,0
F,206,26,1,26,0,0,1,0,0,0,0,0,0,0
M,20,18,1,18,0,0,0,1,0,0,0,0,0,0
F,281,14,12,66,5,1,1,4,0,0,0,0,0,0
F,25,2,1,2,0,0,0,0,0,0,0,0,0,0
F,274,16,1,16,0,1,0,0,0,0,0,0,0,0
F,270,34,2,38,1,0,0,0,0,0,0,0,0,0
F,239,14,2,22,1,0,1,0,0,0,1,0,0,1
F,134,12,4,22,3,0,0,0,0,0,0,0,0,0
F,102,14,2,20,1,0,0,0,0,1,0,0,0,0
M,310,22,5,32,1,1,0,1,0,2,0,0,0,0
F,368,14,11,62,4,1,2,2,1,1,1,0,0,0
F,378,10,7,50,1,1,1,1,0,2,0,0,0,0
M,305,6,9,40,2,1,2,1,0,2,0,0,0,0
F,458,10,12,44,1,0,3,1,2,2,1,1,1,1
F,235,4,1,4,0,0,0,0,0,1,0,0,0,0
F,192,16,10,42,2,1,2,3,1,0,0,0,0,0
F,375,16,11,60,2,1,1,1,2,1,0,0,0,0
F,235,14,1,14,0,0,0,0,0,1,0,0,0,0
M,313,34,1,34,0,0,1,0,0,0,0,0,0,0
M,111,16,2,24,0,0,1,0,1,0,0,0,0,0
F,249,22,11,84,1,3,1,3,0,1,0,0,0,0
F,118,2,1,2,1,0,0,0,0,0,0,0,0,0
F,167,8,2,16,0,0,0,1,0,0,0,0,0,0
F,148,22,3,30,1,0,2,0,0,0,0,0,0,0
M,216,28,2,36,0,0,1,0,0,1,0,0,0,0
F,197,2,6,38,1,1,3,0,0,1,0,0,0,0
F,154,10,7,46,0,2,0,1,0,1,0,0,0,1
F,252,14,1,14,0,0,0,0,0,1,0,0,0,0
F,186,36,2,40,0,0,2,0,0,0,1,0,0,0
M,304,2,1,2,0,0,0,0,0,1,0,0,0,0
F,283,12,2,18,0,0,1,0,1,0,0,0,0,0
M,228,30,2,38,1,0,1,0,0,0,1,0,0,0
M,26,20,1,20,0,0,1,0,0,0,0,0,0,0
